套餐类型名,vCPU(个),family_id,内存容量(GB),PPS(万),内网带宽(Gbps),弹性网卡数,网卡队列数,单网卡私有IP数,价格单位,中国大陆Linux/Windows,"数据盘容量(GB,本地SSD)",新加坡Linux,新加坡Windows,连接数(万),云盘IOPS,云盘带宽(Gbps),GPU,GPU显存,多队列,网卡数,金融专区,中国香港Linux,中国香港Windows
GN6I.8A1,8,GPU推理型,32,80,5.0,,,,,,,,,,,,T4*1,16GB*1,2.0,,,,
GN6I.16A1,16,GPU推理型,64,120,6.0,,,,,,,,,,,,T4*1,16GB*1,4.0,,,,
GN6I.16B2,16,GPU推理型,64,120,6.0,,,,,,,,,,,,T4*2,16GB*2,4.0,,,,
GN6I.32B2,32,GPU推理型,128,240,8.0,,,,,,,,,,,,T4*2,16GB*2,8.0,,,,
GN6I.32C4,32,GPU推理型,128,240,8.0,,,,,,,,,,,,T4*4,16GB*4,8.0,,,,
GN7I.16C1,16,GPU通用计算型,64,150,6.0,,,,,,,,,,,,A10*1,24GB*1,16.0,,,,
GN7I.16D1,16,GPU通用计算型,96,150,6.0,,,,,,,,,,,,A10*1,24GB*1,16.0,,,,
GN7I.32D1,32,GPU通用计算型,192,300,12.0,,,,,,,,,,,,A10*1,24GB*1,16.0,,,,
GN7I.64D2,64,GPU通用计算型,384,500,20.0,,,,,,,,,,,,A10*2,24GB*2,16.0,,,,
GN7I.112D4,112,GPU通用计算型,719,500,20.0,,,,,,,,,,,,A10*4,24GB*4,16.0,,,,
GN8I.16C1,16,GPU通用计算型,64,120,6.0,,,,,,,,,,,,GDP401*1,24GB*1,8.0,,,,
GN8I.32C2,32,GPU通用计算型,128,250,10.0,,,,,,,,,,,,GDP401*2,24GB*2,16.0,,,,
GN8I.64C4,64,GPU通用计算型,256,250,12.0,,,,,,,,,,,,GDP401*4,24GB*4,16.0,,,,
GN8I.112C8,112,GPU通用计算型,448,500,24.0,,,,,,,,,,,,GDP401*8,24GB*8,16.0,,,,
HKEC.1A,1,星河型,1,20,1.0,,1.0,,元/小时,0.105,,,,,,,,,,3.0,,,
HKEC.1B,1,星河型,2,20,1.0,,1.0,,元/小时,0.1225,,,,,,,,,,3.0,,,
HKEC.1C,1,星河型,4,20,1.0,,1.0,,元/小时,0.1575,,,,,,,,,,3.0,,,
HKEC.2A,2,星河型,2,25,1.0,,2.0,,元/小时,0.21,,,,,,,,,,3.0,,,
HKEC.2B,2,星河型,4,25,1.0,,2.0,,元/小时,0.245,,,,,,,,,,3.0,,,
HKEC.2C,2,星河型,8,25,1.0,,2.0,,元/小时,0.315,,,,,,,,,,3.0,,,
HKEC.4A,4,星河型,4,45,1.5,,4.0,,元/小时,0.42,,,,,,,,,,3.0,,,
HKEC.4B,4,星河型,8,45,1.5,,4.0,,元/小时,0.49,,,,,,,,,,3.0,,,
HKEC.4C,4,星河型,16,45,1.5,,4.0,,元/小时,0.63,,,,,,,,,,3.0,,,
HKEC.8A,8,星河型,8,85,2.0,,8.0,,元/小时,0.84,,,,,,,,,,3.0,,,
HKEC.8B,8,星河型,16,85,2.0,,8.0,,元/小时,0.98,,,,,,,,,,3.0,,,
HKEC.8C,8,星河型,32,85,2.0,,8.0,,元/小时,1.26,,,,,,,,,,3.0,,,
HKEC.12A,12,星河型,12,85,2.0,,12.0,,元/小时,1.26,,,,,,,,,,3.0,,,
HKEC.12B,12,星河型,24,85,2.0,,12.0,,元/小时,1.47,,,,,,,,,,3.0,,,
HKEC.12C,12,星河型,48,85,2.0,,12.0,,元/小时,1.89,,,,,,,,,,3.0,,,
