instance_type,cpu,memory,hourly_price,instance_label,family_id,processor_model,network_bandwidth,network_pps,disk,platform,l1_cache,l2_cache,l3_cache,processor_base_frequency,processor_turbo_frequency,numa_count,hyper_threading,region,disk_iops,disk_bandwidth
ecs.hfr6.large,2.0,16.0,,高主频型,hfr6,,1/3,30万,0,aliyun,,,,,,,,,1万,1.0
ecs.hfr6.xlarge,4.0,32.0,,高主频型,hfr6,,1.5/5,50万,0,aliyun,,,,,,,,,2万,1.5
ecs.hfr6.2xlarge,8.0,64.0,,高主频型,hfr6,,2.5/8,80万,0,aliyun,,,,,,,,,2.5万,2.0
ecs.hfr6.3xlarge,12.0,96.0,,高主频型,hfr6,,4/10,90万,0,aliyun,,,,,,,,,3万,2.5
ecs.hfr6.4xlarge,16.0,128.0,,高主频型,hfr6,,5/10,100万,0,aliyun,,,,,,,,,4万,3.0
ecs.hfr6.6xlarge,24.0,192.0,,高主频型,hfr6,,7.5/10,150万,0,aliyun,,,,,,,,,5万,4.0
ecs.hfr6.8xlarge,32.0,256.0,,高主频型,hfr6,,10/无,200万,0,aliyun,,,,,,,,,6万,5.0
ecs.hfr6.10xlarge,40.0,384.0,,高主频型,hfr6,,12.5/无,300万,0,aliyun,,,,,,,,,10万,8.0
ecs.hfr6.16xlarge,64.0,512.0,,高主频型,hfr6,,20/无,400万,0,aliyun,,,,,,,,,12万,10.0
ecs.hfr6.20xlarge,80.0,768.0,,高主频型,hfr6,,25/无,600万,0,aliyun,,,,,,,,,20万,16.0
ecs.c6t.large,2.0,4.0,,计算型,c6t,,1.2/最高10,90万,0,aliyun,,,,,,,,,2万,1.0
ecs.c6t.xlarge,4.0,8.0,,计算型,c6t,,2/最高10,100万,0,aliyun,,,,,,,,,4万,1.5
ecs.c6t.2xlarge,8.0,16.0,,计算型,c6t,,3/最高10,160万,0,aliyun,,,,,,,,,5万,2.0
ecs.c6t.4xlarge,16.0,32.0,,计算型,c6t,,6/最高10,300万,0,aliyun,,,,,,,,,8万,3.0
ecs.c6t.8xlarge,32.0,64.0,,计算型,c6t,,10/无,600万,0,aliyun,,,,,,,,,15万,5.0
ecs.c6t.13xlarge,52.0,96.0,,计算型,c6t,,16/无,900万,0,aliyun,,,,,,,,,24万,8.0
ecs.c6t.26xlarge,104.0,192.0,,计算型,c6t,,32/无,2400万,0,aliyun,,,,,,,,,48万,16.0
ecs.hfr7.large,2.0,16.0,,高主频型,hfr7,,1.2/10,90万,0,aliyun,,,,,,,,,2万,1.0
ecs.hfr7.xlarge,4.0,32.0,,高主频型,hfr7,,2/10,100万,0,aliyun,,,,,,,,,3万,1.5
ecs.hfr7.2xlarge,8.0,64.0,,高主频型,hfr7,,3/10,160万,0,aliyun,,,,,,,,,4.5万,2.0
ecs.hfr7.3xlarge,12.0,96.0,,高主频型,hfr7,,4.5/10,200万,0,aliyun,,,,,,,,,6万,2.5
ecs.hfr7.4xlarge,16.0,128.0,,高主频型,hfr7,,6/10,250万,0,aliyun,,,,,,,,,7.5万,3.0
ecs.hfr7.6xlarge,24.0,192.0,,高主频型,hfr7,,8/10,300万,0,aliyun,,,,,,,,,9万,4.0
ecs.hfr7.8xlarge,32.0,256.0,,高主频型,hfr7,,10/无,400万,0,aliyun,,,,,,,,,10.5万,5.0
ecs.hfr7.12xlarge,48.0,384.0,,高主频型,hfr7,,16/无,600万,0,aliyun,,,,,,,,,15万,8.0
ecs.hfr7.24xlarge,96.0,768.0,,高主频型,hfr7,,32/无,1200万,0,aliyun,,,,,,,,,30万,16.0
ecs.ebmc7a.64xlarge,256.0,512.0,,,ebmc7a,,64,2400万,0,aliyun,,,,,,,,,60万,32
ecs.ebmc6e.26xlarge,104.0,192.0,,,ebmc6e,,32,2400万,0,aliyun,,,,,,,,,48万,16
ecs.i1.xlarge,4.0,16.0,,本地SSD型,i1,,0.8,20万,0,aliyun,,,,,,,,,,
